,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
172,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,221413,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
173,"Buss It","Erica Banks",220479,https://open.spotify.com/track/25j0Sape7qZbq6ZPLFefTT
174,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",220379,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
175,"GIRL LIKE ME","Black Eyed Peas",220077,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
176,July,"Noah Cyrus",219732,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
177,"WHATS POPPIN","Jack Harlow",219554,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
178,ROXANNE,"Arizona Zervas",219161,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
179,"Everybody Dies In Their Nightmares",XXXTENTACION,218765,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
180,"Burning Pile","Mother Mother",218587,https://open.spotify.com/track/0zMAvsQmaQ4DGsmXtKixpn
181,"I Fall Apart","Post Malone",216883,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
182,"Spicy (feat. Post Malone)","Ty Dolla $ign",214323,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
183,"Reminds Me Of You","Juice WRLD",214049,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
184,Errbody,"Lil Baby",213119,https://open.spotify.com/track/6eVxH9Kyanzrw636zJRPcw
185,"GNF (OKOKOK)","Polo G",212408,https://open.spotify.com/track/1A8990rtwHQ417l3yADe5t
186,"Money Trees","Kendrick Lamar",212376,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
187,"Ric Flair Drip (& Metro Boomin)",Offset,212261,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
188,Dangerous,"Morgan Wallen",212097,https://open.spotify.com/track/1MX19fnaW1OUQoglWTYaOo
189,"See You Again (feat. Kali Uchis)","Tyler, The Creator",212009,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
190,Maniac,"Conan Gray",211697,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
191,"Dance Monkey","Tones And I",210933,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
192,"LIKE I WANT YOU",Giveon,210861,https://open.spotify.com/track/6qBFSepqLCuh5tehehc1bd
193,"Chicago Freestyle (feat. Giveon)",Drake,210565,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
194,"Cigarette Daydreams","Cage The Elephant",210545,https://open.spotify.com/track/6EThJr4Dq1Y93JspecGU2F
195,"Took Her To The O","King Von",209957,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
196,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,209596,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
197,F.N,"Lil Tjay",207326,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
198,"forget me too (feat. Halsey)","Machine Gun Kelly",207035,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
199,"Sunday Best (Feeling Good, Like I Should)",Surfaces,206822,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
200,"Murder On My Mind","YNW Melly",206179,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
